// PatSize	  TextSize	  Naive-RT	    KMP-RT
      1000	    550000	      5734	      3865
     10000	    550000	      6281	      3605
    100000	    550000	     12707	      4403
        10	    560000	      5101	      3980
       100	    560000	      5466	      4036
      1000	    560000	      4897	      4871
     10000	    560000	      5560	      5361
    100000	    560000	     10360	      4110
        10	    570000	      6221	     27306
       100	    570000	      5596	      4312
      1000	    570000	      5570	      4067
     10000	    570000	      5400	      3933
    100000	    570000	      9708	      3381
        10	    580000	      5305	      6138
       100	    580000	      4881	      6479
      1000	    580000	      5355	      6064
     10000	    580000	      5815	      5686
    100000	    580000	     10439	      4628
        10	    590000	      5502	      4432
       100	    590000	      5925	      4739
      1000	    590000	      5508	      4106
     10000	    590000	      5587	      8217
    100000	    590000	     10399	      6364
        10	    600000	      8037	      5014
       100	    600000	      7326	      5006
      1000	    600000	      7943	      4536
     10000	    600000	      8117	      4191
    100000	    600000	     13462	      3349
        10	    610000	      5738	      4652
       100	    610000	      6135	      4720
      1000	    610000	      6963	      4998
     10000	    610000	      6795	      4380
    100000	    610000	     10666	      3737
        10	    620000	      5532	      4606
       100	    620000	      5277	      4623
      1000	    620000	      5416	      4366
     10000	    620000	      5938	      4326
    100000	    620000	     10945	      3479
        10	    630000	      5789	      7344
       100	    630000	      5880	      7195
      1000	    630000	      5960	      7269
     10000	    630000	      6348	      4177
    100000	    630000	     15856	      3416
        10	    640000	      5539	      4526
       100	    640000	      8181	      4747
      1000	    640000	      9309	      4684
     10000	    640000	      9614	      6818
    100000	    640000	     10907	      6295
        10	    650000	     10501	      4530
       100	    650000	      5760	      4879
      1000	    650000	      6160	      4883
     10000	    650000	      6793	      7243
    100000	    650000	     11201	      6451
        10	    660000	      9263	      4949
       100	    660000	      6915	      4956
      1000	    660000	      6451	      4674
     10000	    660000	      6633	      4548
    100000	    660000	     11419	      3506
        10	    670000	      8367	      5321
       100	    670000	      9419	      5215
      1000	    670000	      8220	      5154
     10000	    670000	      7625	      4643
    100000	    670000	     11711	      3880
        10	    680000	      8655	      8408
       100	    680000	      6127	      4908
      1000	    680000	      6408	      5050
     10000	    680000	      6602	      4354
    100000	    680000	     21548	      3676
        10	    690000	      7613	      5573
       100	    690000	      6063	      5167
      1000	    690000	      6498	      7267
     10000	    690000	     22683	      4733
    100000	    690000	     12898	      3756
        10	    700000	      9708	      5903
       100	    700000	     14088	      5762
      1000	    700000	      8983	     52651
     10000	    700000	     14816	      9496
    100000	    700000	     28824	      7445
        10	    710000	      7762	      6537
       100	    710000	      6357	      7353
      1000	    710000	      6224	      8335
     10000	    710000	      7035	      8141
    100000	    710000	     12702	     29145
        10	    720000	      6445	      5259
       100	    720000	     15042	      5388
      1000	    720000	      6685	      5860
     10000	    720000	      8255	      5425
    100000	    720000	     13174	      4438
        10	    730000	     10708	      6482
       100	    730000	      7123	      6550
